Francesco Molinari, ITA,4,6,5,2,5,3,4,5,4,4,4,4,5,4,5,3,4,4
Tommy Fleetwood, ENG,4,4,6,3,4,3,4,3,3,5,5,1,5,4,4,4,3,4
Xander Schauffele, USA,4,5,4,2,4,3,5,6,4,4,5,3,5,4,4,4,4,6
Patrick Reed, USA,2,4,5,1,5,2,4,6,3,5,5,3,5,3,5,3,4,2
Alex Noren, SWE,4,5,4,3,4,3,3,3,4,5,5,3,5,3,6,3,4,4
Rory McIlroy, NI,4,5,2,3,5,3,3,5,4,4,3,3,5,4,5,3,5,2
Thorbjorn Olesen, DEN,5,5,5,3,4,3,4,3,4,4,6,2,5,5,3,1,5,4
Eddie Pepperell, ENG,4,5,4,3,4,5,4,5,3,4,4,3,7,5,5,3,4,5
Tyrrell Hatton, ENG,4,6,4,3,5,3,5,5,5,5,4,3,5,4,5,3,4,3
Justin Rose, ENG,4,4,4,4,4,3,4,5,4,5,5,3,6,4,4,3,4,6
Jon Rahm, ESP,4,5,4,3,2,3,3,7,4,5,5,3,7,3,6,3,5,5
Russell Knox, SCO,4,5,3,1,3,3,3,5,4,5,4,4,4,4,5,1,3,5
Lucas Bjerregaard, DEN,4,5,5,3,4,3,4,5,4,2,4,3,5,5,5,3,4,4
Kiradech Aphibarnrat, THA,4,6,4,2,3,2,5,5,4,5,4,2,5,4,5,4,4,3
Rafa Carbrera Bello, SPA,4,5,4,4,3,3,4,6,4,4,6,3,4,5,5,2,4,4
Alexander Bjork, SWE,4,4,4,3,4,2,4,5,4,5,4,3,6,4,4,1,4,4
Ryan Fox, NZL,4,4,5,3,4,3,2,5,5,2,6,2,4,4,5,3,3,4
Brandon Stone, RSA,4,5,5,4,4,3,4,6,4,6,2,4,5,4,5,3,5,6
Haotong Li, CHN,3,3,3,3,4,3,3,4,2,4,4,3,3,5,5,2,4,5
Matthew Fitzpatrick, ENG,4,5,4,3,5,3,4,5,4,3,4,3,5,4,5,2,3,5
Matt Wallace, ENG,4,5,4,4,4,3,4,5,4,4,5,3,5,3,5,3,4,4
Jorge Campillo, SPA,3,5,6,2,5,4,3,5,2,4,4,3,5,4,5,3,4,4
Chris Wood, ENG,4,6,4,3,4,3,4,5,3,4,4,3,5,3,6,3,4,4
Shubhankar Sharma, IND,4,5,4,3,4,1,4,4,5,4,4,3,4,4,5,3,4,4
Thomas Pieters, BEL ,4,5,4,3,4,3,3,3,6,4,4,2,5,4,6,3,4,4
